Date,Innings,Team,Runs Scored
2023-04-29,1,Kolkata Knight Riders,179
2023-04-29,1,Sunrisers Hyderabad,197
2023-04-29,2,Gujarat Titans,180
2023-04-29,2,Delhi Capitals,188
2023-04-30,1,Chennai Super Kings,200
2023-04-30,1,Rajasthan Royals,212
2023-04-30,2,Punjab Kings,201
2023-04-30,2,Mumbai Indians,214
2023-05-01,1,Royal Challengers Bangalore,126
2023-05-01,2,Lucknow Super Giants,108
2023-05-02,1,Delhi Capitals,130
2023-05-02,2,Gujarat Titans,125
2023-05-03,1,Punjab Kings,214
2023-05-03,1,Lucknow Super Giants,125
2023-05-03,2,Mumbai Indians,216
2023-05-04,1,Kolkata Knight Riders,171
2023-05-04,2,Sunrisers Hyderabad,166
2023-05-05,1,Rajasthan Royals,118
2023-05-05,2,Gujarat Titans,119
2023-05-06,1,Mumbai Indians,139
2023-05-06,1,Royal Challengers Bangalore,181
2023-05-06,2,Chennai Super Kings,140
2023-05-06,2,Delhi Capitals,187
2023-05-07,1,Gujarat Titans,227
2023-05-07,1,Rajasthan Royals,214
2023-05-07,2,Lucknow Super Giants,171
2023-05-07,2,Sunrisers Hyderabad,217
2023-05-08,1,Punjab Kings,179
2023-05-08,2,Kolkata Knight Riders,182
2023-05-09,1,Royal Challengers Bangalore,199
2023-05-09,2,Mumbai Indians,200
2023-05-10,1,Chennai Super Kings,167
2023-05-10,2,Delhi Capitals,140
2023-05-11,1,Kolkata Knight Riders,149
2023-05-11,2,Rajasthan Royals,151
2023-05-12,1,Mumbai Indians,218
2023-05-12,2,Gujarat Titans,191
2023-05-13,1,Punjab Kings,167
2023-05-13,1,Sunrisers Hyderabad,182
2023-05-13,2,Lucknow Super Giants,185
2023-05-13,2,Delhi Capitals,136
2023-05-14,1,Chennai Super Kings,144
2023-05-14,1,Royal Challengers Bangalore,171
2023-05-14,2,Kolkata Knight Riders,147
2023-05-14,2,Rajasthan Royals,59
2023-05-15,1,Gujarat Titans,188
2023-05-15,2,Sunrisers Hyderabad,154
2023-05-16,1,Lucknow Super Giants,177
2023-05-16,2,Mumbai Indians,172
2023-05-17,1,Delhi Capitals,213
2023-05-17,2,Punjab Kings,198
2023-05-18,1,Sunrisers Hyderabad,186
2023-05-18,2,Royal Challengers Bangalore,187
2023-05-19,1,Punjab Kings,187
2023-05-19,2,Rajasthan Royals,189
2023-05-20,1,Chennai Super Kings,223
2023-05-20,1,Lucknow Super Giants,176
2023-05-20,2,Kolkata Knight Riders,175
2023-05-20,2,Delhi Capitals,146
2023-05-21,1,Sunrisers Hyderabad,200
2023-05-21,1,Royal Challengers Bangalore,197
2023-05-21,2,Gujarat Titans,198
2023-05-21,2,Mumbai Indians,201
2023-05-23,1,Chennai Super Kings,172
2023-05-23,2,Gujarat Titans,157
2023-05-24,1,Mumbai Indians,182
2023-05-24,2,Lucknow Super Giants,101
2023-05-26,1,Gujarat Titans,233
2023-05-26,2,Mumbai Indians,171
2023-05-29,1,Gujarat Titans,214
2023-05-29,2,Chennai Super Kings,171
